scene_num,pred_frame_num
0,0
0,5
0,10
0,15
0,20
0,25
0,30
0,35
0,40
0,45
1,0
1,5
1,10
1,15
1,20
1,25
1,30
1,35
1,40
1,45
3,0
3,5
3,10
3,15
3,20
3,25
3,30
3,35
3,40
3,45
4,0
4,5
4,10
4,15
4,20
4,25
4,30
4,35
4,40
4,45
6,0
6,5
6,10
6,15
6,20
6,25
6,30
6,35
6,40
6,45
7,0
7,5
7,10
7,15
7,20
7,25
7,30
7,35
7,40
7,45
8,0
8,5
8,10
8,15
8,20
8,25
8,30
8,35
8,40
8,45
9,0
9,5
9,10
9,15
9,20
9,25
9,30
9,35
9,40
9,45
10,0
10,5
10,10
10,15
10,20
10,25
10,30
10,35
10,40
10,45
11,0
11,5
11,10
11,15
11,20
11,25
11,30
11,35
11,40
11,45
15,0
15,5
15,10
15,15
15,20
15,25
15,30
15,35
15,40
15,45
17,0
17,5
17,10
17,15
17,20
17,25
17,30
17,35
17,40
17,45
19,0
19,5
19,10
19,15
19,20
19,25
19,30
19,35
19,40
19,45
22,0
22,5
22,10
22,15
22,20
22,25
22,30
22,35
22,40
22,45
23,0
23,5
23,10
23,15
23,20
23,25
23,30
23,35
23,40
23,45
